PetId,ClaimId,ClaimDate,AmountClaimed
0,0,3/7/20 12:17,624
0,1,3/7/20 8:03,618
2,2,2/8/20 0:18,199.52
2,3,9/21/18 14:34,199.6
2,4,10/23/18 1:40,162.4
2,5,11/7/19 17:15,173.7
2,6,10/31/19 9:42,336.56
2,7,1/10/20 11:35,243.8
2,8,1/29/20 10:55,234.1
2,9,1/27/19 7:56,278.63
4,10,8/6/18 14:02,114.25
4,11,5/2/19 5:01,168.75
4,12,8/10/18 14:06,79.6
4,13,8/21/18 13:52,3103.4
4,14,8/22/18 9:23,330.75
4,15,9/25/18 11:20,3103.1
4,16,9/5/18 22:00,174.5
4,17,8/6/18 14:01,145.75
4,18,8/18/18 7:26,135.65
4,19,8/6/18 14:18,25.25
5,20,7/5/18 16:33,35
5,21,6/28/18 17:02,100
5,22,6/21/18 12:54,511.09
5,23,7/1/20 9:11,49.37
5,24,7/1/20 9:09,190
5,25,7/12/18 12:36,255.23
5,26,4/9/18 15:21,110
5,27,4/9/18 15:20,960.18
5,28,7/5/18 16:31,35
5,29,7/1/20 9:16,854.14
5,30,5/31/18 15:41,629.82
5,31,5/31/18 15:44,29.35
6,32,12/13/19 9:52,811.38
7,33,11/19/19 16:59,328
7,34,4/25/18 8:38,24
7,35,4/3/18 11:42,159.35
7,36,5/12/20 8:27,141.19
7,37,7/31/20 21:00,598.14
7,38,4/2/20 19:23,299.5
7,39,4/2/20 19:24,96.25
7,40,12/2/20 16:40,605.48
7,41,7/31/20 20:58,45.1
7,42,2/4/20 20:59,180
7,43,6/3/20 18:04,180
7,44,2/19/19 5:20,1110.88
7,45,11/6/19 15:49,190.5
7,46,10/23/19 17:44,153.64
7,47,7/13/20 23:18,286.35
7,48,11/30/19 17:28,397.72
7,49,10/23/19 17:42,443.84
7,50,10/23/19 17:37,803.33
7,51,5/11/18 16:21,50.25
7,52,11/4/18 13:28,658.25
7,53,8/29/18 10:26,85.49
7,54,7/22/18 17:41,785.25
10,55,9/19/18 17:28,83.76
10,56,12/19/20 5:12,495.98
10,57,4/19/18 11:46,111.23
10,58,4/30/20 15:56,99
10,59,5/22/19 13:46,1973.27
10,60,7/18/18 12:37,267.73
10,61,9/19/18 16:31,575.9
10,62,1/10/18 17:49,764.83
10,63,8/22/18 15:56,217.72
10,64,12/19/20 5:13,489.16
10,65,6/19/19 6:49,733.24
10,66,8/7/18 14:40,100.07
10,67,1/8/19 9:26,1241.06
10,68,4/30/20 15:55,83.6
10,69,8/17/20 16:52,915.79
10,70,12/18/19 12:25,346.01
10,71,10/5/20 18:05,76.9
10,72,5/17/18 9:37,250.88
10,73,12/18/19 12:19,76.16
10,74,2/18/20 17:23,99
10,75,9/10/20 18:00,242.66
10,76,5/4/18 15:24,1016.49
10,77,7/8/20 13:10,99
10,78,3/20/20 11:03,99
10,79,2/27/18 14:00,1312.8
10,80,11/14/18 10:32,409.21
10,81,12/19/20 5:16,140.42
10,82,12/19/20 5:15,115.8
10,83,7/17/18 11:00,2057.25
10,84,8/1/18 13:11,733.34
10,85,8/23/18 15:03,77.08
10,86,5/29/20 13:49,423.16
10,87,10/5/20 18:04,303
10,88,6/23/20 14:53,574.88
10,89,6/18/20 17:47,99
10,90,5/8/18 16:47,2558.62
10,91,1/21/20 17:24,1283.86
10,92,7/31/18 10:07,272.7
10,93,5/24/19 12:59,501.39
10,94,7/19/18 17:01,148.3
10,95,7/19/18 17:05,72.97
10,96,8/21/18 14:16,1337.06
10,97,3/20/18 8:01,59.92
10,98,9/11/18 12:21,1079.33
10,99,8/17/20 17:09,443.81
10,100,8/17/20 17:12,186.95
11,101,9/29/18 10:28,20.88
11,102,5/18/19 19:02,154.45
11,103,9/29/18 10:18,91.5
11,104,9/29/18 10:11,40
11,105,9/29/18 10:11,78.6
11,106,7/30/19 16:24,119.19
11,107,9/29/18 10:16,64.94
11,108,9/29/18 10:23,20
11,109,7/3/18 11:57,409.3
11,110,12/19/18 17:45,66.89
11,111,12/19/18 17:46,121.94
11,112,11/14/19 1:21,469.91
11,113,11/14/19 1:22,159.51
11,114,11/14/20 3:45,109.53
12,115,10/25/19 15:13,265.97
12,116,10/28/19 5:24,74.56
12,117,10/23/19 7:33,675.35
12,118,10/23/19 7:32,2.82
12,119,11/1/19 5:59,197.75
12,120,12/5/19 12:30,1192.23
13,121,5/24/20 16:34,254.84
13,122,7/19/19 14:44,648.42
15,123,2/8/19 18:24,512
16,124,12/27/18 10:52,1675.7
16,125,9/3/20 15:39,262.55
16,126,1/9/19 15:27,364.45
16,127,5/28/19 8:26,148.95
17,128,1/8/20 9:06,281.48
17,129,7/9/19 17:31,560.16
21,130,10/31/18 12:58,162
21,131,8/10/20 13:11,196.5
21,132,5/9/19 16:15,1611.26
21,133,7/3/19 11:45,41.34
21,134,5/24/19 9:57,261
21,135,2/21/19 3:28,41.34
21,136,3/6/20 8:19,188.4
21,137,9/24/20 3:58,98.26
21,138,2/21/19 3:26,140
21,139,10/23/19 23:45,41.34
21,140,7/21/20 17:53,41.34
21,141,10/22/18 9:27,88
21,142,5/15/19 10:45,27.54
21,143,10/11/18 3:36,3886.23
21,144,11/21/20 16:57,41.34
21,145,8/11/20 11:44,1547
21,146,1/15/20 17:47,27.54
21,147,8/22/19 4:49,161.25
21,148,5/28/20 8:21,27.54
21,149,9/6/19 1:47,27.54
22,150,8/26/20 11:01,125.11
22,151,9/8/20 7:29,433
22,152,7/29/20 3:37,289.14
22,153,8/28/20 14:00,7.1
22,154,8/7/20 21:24,2020.19
22,155,8/28/20 13:59,159.1
22,156,7/29/20 3:38,164.27
22,157,7/29/20 3:35,159.76
22,158,8/7/20 12:04,1541.05
22,159,10/26/20 9:04,264.59
22,160,6/29/19 10:44,293.58
22,161,8/24/20 19:08,189.53
24,162,11/29/20 14:05,208.6
24,163,7/12/19 10:31,168.36
24,164,4/29/18 14:27,88
24,165,4/20/18 9:31,73.2
26,166,7/11/18 15:35,34.45
26,167,6/6/18 9:43,236.18
26,168,6/16/18 14:20,89.96
28,169,4/7/20 10:14,74.14
28,170,11/28/18 11:35,34.5
28,171,12/20/18 11:02,11.21
28,172,4/22/20 10:57,33.97
28,173,10/19/18 8:54,100.19
28,174,1/14/19 13:25,247.69
28,175,8/18/19 16:36,120.7
28,176,9/1/19 18:40,96
28,177,10/31/18 20:13,190.7
28,178,12/10/18 9:19,308.9
28,179,3/11/20 9:49,220.25
28,180,12/11/18 11:34,40.14
28,181,1/22/19 13:48,305.11
28,182,11/9/18 23:48,291.35
28,183,8/6/20 14:54,0
28,184,2/28/19 14:19,94.5
29,185,3/21/20 13:47,49.5
29,186,9/8/18 15:32,76.9
30,187,9/6/19 15:40,207
30,188,5/19/19 10:33,59.75
30,189,5/19/19 9:46,197
30,190,5/19/19 10:32,59.75
30,191,5/19/19 10:09,412.75
30,192,11/27/19 10:29,242.65
30,193,8/26/19 23:28,293
30,194,5/19/19 10:34,789.25
30,195,5/19/19 10:16,176
30,196,8/26/19 22:43,135
30,197,5/19/19 10:24,57
30,198,5/19/19 10:26,66
30,199,5/19/19 10:29,365.4
30,200,5/19/19 10:23,249.75
31,201,11/14/19 9:31,111
31,202,9/1/20 1:56,131.8
31,203,10/19/18 18:08,150
31,204,9/1/20 1:58,23.5
31,205,6/25/18 9:04,112
31,206,6/16/18 10:32,9
32,207,12/28/18 14:10,196.38
32,208,12/28/18 10:44,231.04
33,209,2/24/20 9:57,826.84
34,210,10/22/19 9:21,100.87
34,211,11/14/19 7:47,578.81
34,212,10/23/19 8:27,834.61
34,213,7/15/19 8:54,97.69
34,214,9/27/19 8:37,1425.69
35,215,6/24/19 23:17,95
35,216,8/25/20 4:29,361.9
35,217,12/1/20 4:34,132.05
35,218,2/11/20 21:48,44.8
35,219,12/3/18 17:59,1062.35
35,220,12/3/18 10:21,2589.29
35,221,11/4/19 15:01,173.16
35,222,12/5/18 8:21,1941.58
35,223,12/4/18 7:49,677.65
35,224,12/2/18 4:54,2420.95
35,225,3/20/20 9:56,218.52
35,226,11/14/20 15:58,173.16
35,227,4/23/19 5:13,254.41
35,228,11/27/20 13:37,990.92
35,229,12/18/19 2:22,335.22
35,230,12/18/19 2:28,225.6
35,231,11/4/19 15:00,25.9
35,232,11/27/20 10:11,833.35
35,233,4/25/19 7:56,202
35,234,2/11/19 14:05,539.01
35,235,11/14/20 16:51,49
35,236,11/14/20 16:19,131.2
35,237,12/17/18 12:56,371.62
36,238,8/12/20 8:57,819.7
37,239,8/18/20 9:21,350.1
37,240,2/21/19 16:04,584.8
37,241,8/20/20 16:17,17.45
37,242,8/20/20 16:16,620.55
