species,breed_size,age,location,food_cost,preventive_cost,grooming_cost,total_annual_cost,risk_tier
Dog,Extra Large,11,Semi-Urban,494673,12113,8352,592408,HIGH
Dog,Small,3,Urban,211172,9535,3337,257650,HIGH
Dog,Medium,6,Urban,301836,9657,4834,363776,HIGH
Cat,Medium,3,Urban,301557,9980,5277,364336,HIGH
Cat,Large,9,Urban,407106,13757,7045,492094,HIGH
Dog,Small,13,Semi-Urban,211758,10090,3020,258598,HIGH
Dog,Large,6,Urban,407384,10053,6811,487885,HIGH
Dog,Extra Large,8,Urban,499471,10451,8412,596084,HIGH
Cat,Large,5,Urban,408499,10335,6423,489045,HIGH
Dog,Small,9,Semi-Urban,210934,10865,4043,259718,HIGH
Dog,Large,5,Semi-Urban,409631,8192,6815,488333,HIGH
Dog,Medium,8,Urban,304121,8740,5418,366020,HIGH
Dog,Medium,3,Semi-Urban,304783,8270,6786,367814,HIGH
Dog,Small,13,Urban,211189,12952,4080,262454,HIGH
Dog,Large,5,Urban,411262,9585,6495,491443,HIGH
Cat,Large,9,Urban,407303,11814,6785,489787,HIGH
Dog,Large,10,Urban,409755,12795,7324,494355,HIGH
Dog,Medium,3,Urban,299169,7875,5272,359163,HIGH
Dog,Small,12,Urban,212063,12544,2554,261235,HIGH
Dog,Medium,12,Urban,304319,11464,5086,368999,HIGH
Dog,Small,1,Semi-Urban,212146,10332,4218,260700,HIGH
Dog,Medium,10,Semi-Urban,298939,11013,4525,361648,HIGH
Cat,Medium,6,Urban,304602,11113,4659,368430,HIGH
Cat,Medium,6,Urban,301945,9666,5528,364709,HIGH
Dog,Large,3,Urban,409163,8024,7140,487976,HIGH
Dog,Medium,10,Urban,303645,13835,5363,371269,HIGH
Dog,Medium,2,Semi-Urban,301917,8401,5026,362645,HIGH
Dog,Large,3,Semi-Urban,408668,8736,6786,487818,HIGH
Cat,Extra Large,4,Semi-Urban,497655,7428,9332,591577,HIGH
Dog,Medium,1,Urban,302739,11935,5087,367725,HIGH
Dog,Large,3,Urban,406571,10116,6215,486337,HIGH
Dog,Extra Large,13,Urban,495525,12887,8836,594835,HIGH
Dog,Large,1,Urban,406381,13781,6920,491144,HIGH
Dog,Extra Large,13,Urban,496794,13261,8653,596514,HIGH
Cat,Medium,5,Urban,299893,9522,5044,361627,HIGH
Dog,Medium,6,Urban,298294,9292,5176,359676,HIGH
Dog,Extra Large,2,Urban,495018,9053,8624,589599,HIGH
Dog,Medium,2,Semi-Urban,305350,8019,5535,366739,HIGH
Dog,Large,1,Urban,407195,12897,6119,490142,HIGH
Dog,Medium,10,Urban,305792,13549,4293,372179,HIGH
Dog,Small,6,Urban,209046,10340,3329,256122,HIGH
Cat,Medium,6,Urban,303345,11911,6021,369468,HIGH
Dog,Large,13,Semi-Urban,405691,8807,6471,484114,HIGH
Dog,Small,9,Urban,214709,11760,3428,264381,HIGH
Dog,Small,13,Urban,217274,13825,2840,269029,HIGH
Dog,Large,9,Urban,407338,13559,7199,492310,HIGH
Dog,Medium,5,Urban,304878,11058,5035,369116,HIGH
Dog,Medium,1,Urban,300860,13778,5872,368586,HIGH
Cat,Extra Large,12,Urban,497296,13529,9193,598020,HIGH
Dog,Medium,5,Urban,299316,10401,5630,362649,HIGH
Dog,Medium,12,Urban,300819,13166,5542,367456,HIGH
Dog,Large,9,Urban,407378,12165,7563,491171,HIGH
Cat,Small,9,Semi-Urban,211371,9951,3973,259089,HIGH
Cat,Medium,2,Urban,303012,10834,5214,366919,HIGH
Dog,Medium,7,Semi-Urban,300976,8209,5106,361434,HIGH
Cat,Medium,11,Urban,303654,12670,5592,370203,HIGH
Cat,Large,4,Urban,406670,11673,6396,488449,HIGH
Dog,Large,7,Semi-Urban,405878,9450,7102,485794,HIGH
Cat,Large,10,Urban,407440,13163,7179,491949,HIGH
Dog,Small,3,Urban,214774,10231,3506,262787,HIGH
Dog,Medium,12,Urban,302414,14180,5528,370440,HIGH
Dog,Medium,13,Urban,301472,14272,5335,369240,HIGH
Cat,Large,7,Semi-Urban,409292,8071,6177,487071,HIGH
Cat,Medium,6,Semi-Urban,300103,8036,5294,360447,HIGH
Dog,Small,5,Semi-Urban,213225,7381,3612,257850,HIGH
Dog,Large,1,Urban,409303,13697,6991,494489,HIGH
Dog,Medium,8,Urban,301175,9410,5331,363303,HIGH
Dog,Medium,12,Urban,299710,13273,6038,366874,HIGH
Dog,Large,12,Urban,408061,13519,7290,493200,HIGH
Dog,Large,11,Urban,408609,12941,6758,492554,HIGH
Cat,Extra Large,1,Urban,495837,14148,8529,596291,HIGH
Dog,Small,1,Urban,215494,13174,3357,266828,HIGH
Dog,Large,3,Urban,407406,10498,6366,487910,HIGH
Cat,Large,1,Urban,408022,11772,7538,491431,HIGH
Dog,Large,2,Urban,407271,10714,6618,488293,HIGH
Dog,Large,2,Semi-Urban,413385,8186,7301,493202,HIGH
Cat,Large,2,Urban,410079,9890,7000,491014,HIGH
Cat,Medium,7,Urban,297450,10774,5422,360692,HIGH
Dog,Large,1,Urban,409075,12973,5866,492101,HIGH
Dog,Medium,3,Urban,301613,11873,4549,365740,HIGH
Dog,Large,4,Urban,409801,9767,7927,491619,HIGH
Dog,Small,3,Semi-Urban,212391,6975,2949,255662,HIGH
Dog,Medium,5,Urban,300684,9041,6082,363178,HIGH
Dog,Large,9,Urban,408377,12019,6920,491413,HIGH
Dog,Small,4,Semi-Urban,211556,8463,3326,256846,HIGH
Dog,Large,7,Urban,405850,9797,6963,486001,HIGH
Dog,Small,3,Semi-Urban,219187,8895,3536,266360,HIGH
Dog,Medium,9,Semi-Urban,299881,10607,4454,362183,HIGH
Cat,Small,12,Urban,212330,11311,4271,262098,HIGH
